 BPM, POPULARITY,AUTHOR,AUTHOR (2),COMPOSER,DATE,DIRECTOR,LYRICS,ORCHESTRA,SINGER,SOLOIST,TITLE,URL
,,Julio César Curi,,Edmundo Baya,1960-07-28,,"Tristeza...
Con el vino de mi mesa
Desataste una pena
Que en mi alma estaba presa.
Te burlas... tristeza
Y estás sentada en mi mesa
Donde nadie te invitó,
Acaso querés que llore
Por más que llore ya es tarde
Dejame con mi licor.

Verás que poco a poco
Cuando esté bien encopado,
Como lo dejo olvidado
Al ayer y a este dolor.
Y entonces
Podés seguir en mi mesa,
Que así te llames tristeza
No gustaré tu sabor.

Es cierto...
Que converso con mis cosas,
Alocadas en su vuelo
De mis penas nacen rosas.
No lloro... tristeza
Son unas perlas traviesas
Que se van del corazón,
Te burlas y me lastimas
Y en la copa de mi mesa
Te mezclas con mi licor.",Rodolfo BIAGI,Hugo Duval,,Te burlas tristeza (TANGO),https://www.el-recodo.com/music?id=00001&lang=en
,,,,,1940-06-28,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Rodolfo BIAGI,Jorge Ortiz,,Cantado Se Van Las Penas (MILONGA),https://www.el-recodo.com/music?id=00002&lang=en
,,Mario Pardo,,Antonio Buglione,1939-03-24,,"Maleva que has vuelto al nido
de tu garufa arrepentida,
ya no sos la mantenida
que deslumbraba en el Pigall;
ya no tenés más berretines
de lujo y milonga,
de vicio y placer.
Volvés a tu vida primera
y la milonguera
vuelve a ser mujer.

Tal vez algún día
oyendo un tango malevo
arderá en tu alma un deseo
que matará el corazón.
Vos, que siempre fuiste
la reina de los festines,
ya no querés copetines,
ni tangos ni bandoneón.

Y ahora de nuevo en tu barrio
y por todos respetada,
viendo tu vieja encantada
con tu regeneración,
dentro de tu corazón
has de pensar que el cariño
tendió su manto de armiño
para abrigarte mejor.",Rodolfo BIAGI,Instrumental,,La maleva (TANGO),https://www.el-recodo.com/music?id=00003&lang=en
,,Emilio Fresedo,,Osvaldo Fresedo,1954-06-29,,"De paja y terrón
un rancho levanté
dorado cuando el sol asoma.
Y para ver mi rancho
te llevaré
hasta la loma.

Prendida a la pared
la flor que yo te di,
Cielito, la saqué temprano.
Quiero mañana y siempre
igual que hoy,
verla en tus manos.

Que no brillen tus ojos
por vanos antojos
de vida mundana.
Porque vale más tu trenza
y tu vestido de paisana.
La cinta del pelo
es azul como el cielo,
y te viste mejor...
Y hasta el aire te pinta
tu buen color.

¡Ay, ay, ay, ay,
tanto te quiero!...
Que solo y sin tus caricias,
cielito mío,
de pena muero.
¡Ay, ay, ay, ay!...
Lejos del ruido
metido entre sauzales,
cielito mío,
estará mi nido.",Rodolfo BIAGI,Instrumental,,Cielito mío (TANGO),https://www.el-recodo.com/music?id=00004&lang=en
,,Alejandro Romay,,Roberto Rufino,1959-03-06,,"La casita sobre el lago azul,
el nido y luz de nuestro amor,
fue testigo fiel de nuestro adiós
y hoy llora en silencio por los dos.

Cuando faltes tú
en el lago azul,
mi quimera gris
buscará tu amor.
Y a mi corazón
llamará el dolor,
en el lago azul
de mi soledad.

Siempre hay que pagar con gran dolor
después de amar con gran pasión.
La casita sobre el lago azul
hoy llora en silencio por los dos.",Rodolfo BIAGI,Hugo Duval,,En el lago azul (TANGO),https://www.el-recodo.com/music?id=00005&lang=en
,,,,Vicente Greco,1948-07-22,,"EL RECODO TANGO
			Design Web: Gregory DIAZ",Rodolfo BIAGI,Instrumental,,La viruta (TANGO),https://www.el-recodo.com/music?id=00006&lang=en
,,Lito Bayardo,,Juan de Dios Filiberto,1959-09-16,,"Flor de mburucuyá,
Abre tu balcón
Para mi cantar.
Luz de mi corazón
Oye la canción
Que a tu encuentro va.
Flor de mburucuyá,
Con tu nombre azul
En mi vida estás.

En un ventanal
Así se escuchó
Sentida canción
A una mujer,
Aquel trovador
Por ella jugó
Su sueño de amor
Que tuvo y perdió.
De aquel ventanal
Caía un jazmín
Con esta canción
Tan dulce que oí,
Ahora mi bien
Yo quiero cantar
La vieja canción
Por vos y por mí.",Rodolfo BIAGI,Hugo Duval,,La canción (TANGO),https://www.el-recodo.com/music?id=00007&lang=en
,,Oscar Rubens,,Alberto Suárez Villanueva,1945-05-25,,"Tu melodía siempre la escucho,
Y donde vaya, me persigue noche y día...

Buscándote, amor, amor
Ansiosa está el alma mía,
Y donde voy oyendo estoy,
Tu dulce voz, tu melodía.

Cada lugar que recorrí
Me habló de ti, de tu emoción,
Por eso siempre te está buscando
Confiando hallarte mi corazón.

Tu melodía,
Siempre la escucho
Y donde vaya
Me persigue noche y día.

Tu melodía
Vive en mi alma,
Y al evocarla
Me devuelve tu visión.",Rodolfo BIAGI,Jorge Ortiz,,Tu melodía (VALS),https://www.el-recodo.com/music?id=00008&lang=en
,,Alberto Vacarezza,,Raúl de los Hoyos,1956-08-28,,"¡Chiche! ¡Moro! ¡Zaino!
Vamos, pingos, por favor,
que pa' subir el repecho
no falta más que un tirón.
¡Zaino! ¡Chiche! ¡Moro!
La barranca ya pasó,
y por verla tengo apuro
de llegar al corralón.

Y castigando muy suavemente
sobre las ancas del cadenero,
todas las tardes pasa el carrero
peón de la tropa «El Picaflor».
Va de compadre masticando un pucho,
y un clavelito del color del ceibo
lleva en la cinta de un chambergo
como regalo de un corazón.

¡Moro! ¡Chiche! ¡Zaino!
Y al llegar al corralón
pega un chiflido de alerta
y abre la china el portón.
¡Chiche! ¡Moro! ¡Zaino!
Ya la tarde se apagó,
pero en los ojos de ella
ha vuelto a salir el sol.

Desata alegre la caballada,
y tras la cena, corta y sencilla,
pulsa la viola y un tango ensilla
con el recuerdo de su canción.

¡Chiche! ¡Moro! ¡Zaino!
La barranca se acabó,
pero ya no tengo apuro
de llegar al corralón.",Rodolfo BIAGI,Hugo Duval,,El carrerito (TANGO),https://www.el-recodo.com/music?id=00009&lang=en
,,Alfredo Bigeschi,,Juan Martí,1951-07-30,,"La soledad
que me envuelve el corazón,
va encendiendo en mi alma
el fuego de tu amor lejano.
En las brumas de tu olvido
viaja mi ilusión,
gritando tu nombre en vano.

Pero no estás
y en mi cruel desolación
es un fantasma el recuerdo
de lo que se fue.
Percibo tu sombra y mi amor te nombra
pidiéndote aquellas caricias de ayer.

No vendrás
y sin embargo te espera mi amor.
Quiero olvidarte y no puedo olvidar
porque sos toda mi ilusión.
No vendrás
y yo esperándote estoy, mi bien,
con la fe del que ama como yo.
Y añora de ti, caricias de ayer
anhelante mi buen corazón.

En la ansiedad
de tenerte junto a mí
mis manos en el vacío
te andan buscando,
y en medio de este silencio
atroz mi alma febril,
para sí, te está llamando.",Rodolfo BIAGI,Carlos Heredia,,Caricias (TANGO),https://www.el-recodo.com/music?id=00010&lang=en
