title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
La Yumba Don,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\PUGLIESE       la yumba  21-08-46.mp3,True,True,6,False,True,False
Racconto,Osvaldo Pugliese,1982-08-03,tango,Musica: Carlos García - Letra: Margarita Durán,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese - 1981 - 1982 - Todas sus grabaciones\20-1982 - osvaldo pugliese - racconto- instrumental de carlos garcia y margarita duran.mp3,True,True,1,False,True,True
Copacabana (Nido de amor),Osvaldo Pugliese,1985-06-28,tango,Musica: Julio De Caro - Letra: Antonio Rubio Penadés,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese - 1984 - 1985 - 1986\12-1985 -  pugliese - copacabana  - 1985.mp3,True,True,1,False,True,True
Mala Junta,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\- PUGLI  -  Instru\PUGLIESE\PUGLIESE       mala junta.mp3,True,True,3,False,True,False
A Un Artista Del Pueblo - De Arturo Penón - 1980,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese 1977-1978-1979-1980\17- a un artista del pueblo - DE ARTURO PENÓN - 1980.mp3,True,True,1,False,True,False
Adios Bardi -  Pugliese,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\- PUGLI  -  Instru\Osvaldo Pugliese-Adios Bardi -  Pugliese.mp3,True,True,1,False,True,False
Adios Pampa Mia- De Mores-Canaro Y Pelay,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese 1973-1974-1976\13-1976 - osvaldo pugliese & abel córdoba - adios pampa mia- de mores-canaro y pelay.mp3,True,True,1,False,True,False
Almagro - Adrian Guida - De San Lorenzo Y Timarni - 1985,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese - 1984 - 1985 - 1986\05- almagro - adrian guida - de san lorenzo y timarni - 1985.mp3,True,True,6,False,True,False
Aquel Encuentro- De Quevedo-1986,Osvaldo Pugliese,,tango,,"D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese - 1984 - 1985 - 1986\16-pugliese, abel córdoba & adrian guida - aquel encuentro- de quevedo-1986.mp3",True,True,2,False,True,False
Caldarella-1955,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese - 1964 - 1965 - Todas sus grabaciones\20-osvaldo pugliese-canaro en paris-J. y A. Scarpino-Caldarella-1955.mp3,True,True,1,False,True,False
Callao Once                                            1976,Osvaldo Pugliese,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- PUGLIESE\Kiko pugli\Osvaldo Pugliese 1973-1974-1976\10-callao once - osvaldo pugliese 1976- instrumental dejavier mazzea.mp3,True,True,1,False,True,False
