unique_value,repetition_count,position,same_orchestra,orchestra_value,group_data
tango,3,0,True,Orquesta Típica Victor,"                         title                 artist1  ...   ano        artist2
0  Viento norte (Bronca negra)  Orquesta Típica Victor  ...  1929            NaN
1                      Coqueta  Orquesta Típica Victor  ...  1929            NaN
2                    Ventarrón  Orquesta Típica Victor  ...  1933  Alberto Gómez

[3 rows x 13 columns]"
cortina entera,1,3,True,Em Beihold,"          title     artist1                album  ...     bitrate   ano artist2
0  Too Precious  Em Beihold  Egg in the Backseat  ...  949.335394  2022     NaN

[1 rows x 13 columns]"
tango,3,4,True,Alfredo Gobbi,"          title        artist1  ...   ano artist2
0        Chuzas  Alfredo Gobbi  ...  1949     NaN
1        Jueves  Alfredo Gobbi  ...  1947     NaN
2  Nueve puntos  Alfredo Gobbi  ...  1952     NaN

[3 rows x 13 columns]"
cortina entera,1,7,True,Pomplamoose,"                title      artist1  ...   ano         artist2
0  Les Champs-Élysées  Pomplamoose  ...  2020  John Schroeder

[1 rows x 13 columns]"
tango,3,8,True,Francini-Pontier,"                    title           artist1  ...   ano     artist2
0  Camouflage (Camuflaje)  Francini-Pontier  ...  1947  Raúl Berón
1                Remolino  Francini-Pontier  ...  1946  Raúl Berón
2               Uno y uno  Francini-Pontier  ...  1947  Raúl Berón

[3 rows x 13 columns]"
cortina entera,1,11,True,Ashe,"                title artist1               album  ...    bitrate   ano artist2
0  Moral Of The Story    Ashe  Moral Of The Story  ...  858.48276  2020     NaN

[1 rows x 13 columns]"
tango vals,3,12,True,Juan D'Arienzo,"                 title         artist1  ...   ano       artist2
0         Flor del mal  Juan D'Arienzo  ...  1940  Héctor Mauré
1                Miedo  Juan D'Arienzo  ...  1940  Héctor Mauré
2  La serenata de ayer  Juan D'Arienzo  ...  1941  Héctor Mauré

[3 rows x 13 columns]"
cortina entera,1,15,True,Taylor Swift,"         title       artist1  album  ...     bitrate   ano artist2
0  Paper Rings  Taylor Swift  Lover  ...  946.408058  2019     NaN

[1 rows x 13 columns]"
tango,3,16,True,Florindo Sassone,"                                               title  ... artist2
0                                        Ojos negros  ...     NaN
1                                      Isla de Capri  ...     NaN
2  Los pescadores de perlas (Les pêcheurs de perles)  ...     NaN

[3 rows x 13 columns]"
cortina entera,1,19,True,The Bangles,"                  title      artist1  ...   ano artist2
0  Hazy Shade of Winter  The Bangles  ...  2017     NaN

[1 rows x 13 columns]"
tango,3,20,True,Ángel D'Agostino,"                       title           artist1  ...   ano       artist2
0              Tres esquinas  Ángel D'Agostino  ...  1941  Ángel Vargas
1        Ahora no me conocés  Ángel D'Agostino  ...  1941  Ángel Vargas
2  Shusheta (El aristócrata)  Ángel D'Agostino  ...  1945  Ángel Vargas

[3 rows x 13 columns]"
cortina entera,1,23,True,Rosa Linn,"  title    artist1  ...   ano artist2
0  Snap  Rosa Linn  ...  2022     NaN

[1 rows x 13 columns]"
tango,3,24,True,Carlos di Sarli,"              title          artist1  ...   ano artist2
0  Milonguero viejo  Carlos di Sarli  ...  1955     NaN
1      El ingeniero  Carlos di Sarli  ...  1955     NaN
2   Champagne tango  Carlos di Sarli  ...  1958     NaN

[3 rows x 13 columns]"
cortina entera,1,27,True,Meghan Trainor,"                                         title         artist1  ...   ano artist2
0  Like I'm Gonna Lose You (feat. John Legend)  Meghan Trainor  ...  2015     NaN

[1 rows x 13 columns]"
tango milonga,3,28,True,Francisco Canaro,"                     title           artist1  ...   ano        artist2
0  Milonga del novecientos  Francisco Canaro  ...  1933   Ernesto Famá
1          Silueta porteña  Francisco Canaro  ...  1936  Roberto Maida
2       Reliquias porteñas  Francisco Canaro  ...  1938            NaN

[3 rows x 13 columns]"
cortina entera,1,31,True,Ed Sheeran,"          title     artist1 album  ...     bitrate   ano artist2
0  Shape of You  Ed Sheeran     ÷  ...  1716.83772  2017     NaN

[1 rows x 13 columns]"
tango,3,32,True,Julio de Caro,"            title        artist1  ...   ano artist2
0      La rayuela  Julio de Caro  ...  1941     NaN
1  El pensamiento  Julio de Caro  ...  1942     NaN
2       Catamarca  Julio de Caro  ...  1940     NaN

[3 rows x 13 columns]"
cortina entera,1,35,True,Raphael,"                title  artist1    album  ...    bitrate   ano artist2
0  Les petits bateaux  Raphael  Caravan  ...  927.58884  2005     NaN

[1 rows x 13 columns]"
tango,3,36,True,Ricardo Tanturi,"                      title          artist1  ...   ano           artist2
0         Decile que vuelva  Ricardo Tanturi  ...  1942  Alberto Castillo
1  Bailongo de los domingos  Ricardo Tanturi  ...  1943  Alberto Castillo
2   Mi piba (Mi piba linda)  Ricardo Tanturi  ...  1943  Alberto Castillo

[3 rows x 13 columns]"
cortina entera,1,39,True,Postmodern Jukebox,"   title             artist1           album  ...     bitrate   ano artist2
0  Creep  Postmodern Jukebox  The Essentials  ...  818.814714  2016     NaN

[1 rows x 13 columns]"
