title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
Amarguras,Miguel Caló / Roman Prince,1933,tango vals,Musica: Miguel Nijensohn y Jaime de los Hoyos - Letra: Sapet Grasso,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1933_Caló - Román Prince_Amarguras.flac",False,False,0,False,False,False
Milonga porteña,Miguel Caló / Roman Prince,1933,tango,Musica: Luis Brighenti y Miguel Caló - Letra: Mario César Gomila,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1933_Caló - Román Prince_Milonga porteña.flac",False,False,0,False,False,False
Coplas de esperanza,Miguel Caló / Carlos Dante,1934-11-26,pasodoble,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_Coplas de esperanza.mp3",False,False,0,False,False,False
Mentiras piadosas,Miguel Caló / Carlos Dante,1934-11-26,tango,Musica: Miguel Nijensohn y Pedro Héctor Pandolfi - Letra: Carlos Marín,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_Mentiras piadosas.mp3",False,False,0,False,False,False
No vale la pena,Miguel Caló / Carlos Dante,1934-10-05,tango,Musica: Antonio Helú - Letra: Antonio Helú,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_No vale la pena.flac",False,False,0,False,False,False
Tu eres para mi,Miguel Caló / Carlos Dante,1934-10-05,tango vals,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1934_Caló - Carlos Dante_Tu eres para mi.mp3",False,False,0,False,False,False
Alla en el cielo,Miguel Caló / Carlos Dante,1935-03-25,tango vals,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Allá en el cielo.mp3",False,False,0,False,False,False
Alma mía,Miguel Caló / Carlos Dante y Hermanas Morel,1935-12-17,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Alma mia.mp3",False,False,0,False,False,False
Declaracion,Miguel Caló / Carlos Dante,1935-12-17,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Declaracion.mp3",False,False,0,False,False,False
Es una santa mama,Miguel Caló / Carlos Dante,1935-06-10,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Es una santa mamá.mp3",False,False,0,False,False,False
Los años pasan,Miguel Caló / Carlos Dante,1935-03-25,tango,Musica: Armando Baliotti - Letra: Carlos Giampé,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Los años pasan.flac",False,False,0,False,False,False
Los años pasan,Miguel Caló / Carlos Dante,1935-03-25,tango,Musica: Armando Baliotti - Letra: Carlos Giampé,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Los años pasan.mp3",False,False,0,False,False,False
Puesta de sol,Miguel Caló / Carlos Dante,1935-04-05,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Puesta de sol.mp3",False,False,0,False,False,False
Serpentinas de esperanza,MIguel Caló,1935,tango,Musica: José Canet - Letra: Afner Gatti,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Serpentinas de esperanza.mp3",False,False,0,False,False,False
Si volviera Jesús,Miguel Caló / Carlos Dante,1935-09-28,tango,Musica: Joaquín Mora - Letra: Dante A. Linyera,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Si volviera Jesús.flac",False,False,0,False,False,False
Suena el acordeon,Miguel Caló / Carlos Dante,1935-06-10,ranchera,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Suena el acordeon.mp3",False,False,0,False,False,False
Voluntad,Miguel Caló / Carlos Dante,1935-09-28,tango,Musica: ? - Letra: ?,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1935_Caló - Carlos Dante_Voluntad.mp3",False,False,0,False,False,False
"Bailar, soñar",MIguel Caló,13/0,tango vals,Musica: Enrico Malatesta - Letra: Louis Raymond,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_Bailar, soñar.mp3",False,False,0,False,False,False
La pequeña Shirley (fox trot),MIguel Caló,23/1,tango vals,Musica: Miguel Caló - Letra: Mario César Gomila,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_La pequeña Shirley (fox trot).mp3",False,False,0,False,False,False
Las campanas,Miguel Caló / Alberto Morel,1936-07-13,tango,Musica: Armando Acquarone - Letra: Juan Velich,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_Las campanas.flac",False,False,0,False,False,False
Nostalgias,Miguel Caló / Alberto Morel,1936-10-23,tango,Musica: Juan Carlos Cobián - Letra: Enrique Cadícamo,"D:/Dropbox/TDJ/MUSICA/Angel/Caló, Miguel\1936_Caló - Alberto Morel_Nostalgias.flac",False,False,0,False,False,False
