title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
A Mi Madre,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tangos Del Tiempo Viejo  vol. 4\Quinteto Pirincho - A Mi Madre.wav,True,True,1,True,False,False
Alma de bandoneón,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Alma de bandoneón.wav,True,True,1,True,False,False
Arrabalera Canaro,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\- Canaro Milongas\0122 M1 ARRABALERA Canaro.mp3,True,True,8,False,True,False
Aunque no lo crean,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Aunque no lo crean.wav,True,True,1,True,False,False
Beso ingrato,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Gardel Canaro 20 grandes exitos\Francisco Canaro - Beso ingrato.wav,True,True,7,False,True,False
Charamusca,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tangos Del Tiempo Viejo - Vol. 3 - Reliquias\Quinteto Pirincho - Instrumental - Charamusca.wav,True,True,2,False,True,False
Charamusca,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\01Canaro Instrumental 1\CHARAMUSCA.mp3,True,True,2,False,True,False
Ciego,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Ciego.wav,True,True,1,True,False,False
Cogote,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Cogote.wav,True,True,1,True,False,False
Cran Can Fu Canaro -Roldan,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\- Canaro Milongas\CRAN CAN FU Canaro -Roldan.mp3,True,True,8,False,True,False
De puro guapo,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - De puro guapo.wav,True,True,2,False,True,False
Derecho Viejo,Francisco Canaro,,tango,,"D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tangos Del Tiempo Viejo - Vol. 2 - Reliquias\Quinteto Pirincho - Quinteto Pirincho - Instrumental , Derecho Viejo.wav",True,True,1,True,False,False
Desde el alma,Francisco Canaro,,tango vals,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\- Canaro Valses\0309 V1 DESDE EL ALMA Canaro.mp3,True,True,2,False,True,False
Despues De Quererla Tanto Canaro-Fama,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\- Canaro Milongas\Francisco Canaro-Despues De Quererla Tanto Canaro-Fama.mp3,True,True,1,False,True,False
Don Esteban,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias- Viejos tangos de mi flor\Quinteto Don Pancho - Don Esteban.wav,True,True,1,True,False,False
El Acomodo Canaro,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Osvaldo LA YUMBA\- Canaro\01Canaro Instrumental 1\EL ACOMODO canaro.mp3,True,True,9,False,True,False
El Alacrán,Francisco Canaro,,tango,,"D:\Dropbox\TDJ\MUSICA\Dan\Canaro\20 Grandes �xitos\Francisco Canaro Y Su Orquesta T�pica - Quinteto Pirincho - Instrumental , El Alacr�n.wav",True,True,1,True,False,False
El canillita,Francisco Canaro,,tango,,D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias- Instrumentales de colección\Francisco Canaro - El canillita.wav,True,True,2,False,True,False
