title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
A la luz del candil,Ricardo Tanturi / Carlos Ortega,1937-06-23,tango,Musica: Carlos Vicente Geroni Flores - Letra: Julio Navarrine,D:/Dropbox/TDJ/MUSICA/Eduardo\1\002-A LA LUZ DE UN CANDIL .mp3,False,False,0,False,False,False
El paladín,Osvaldo Pugliese,1945-03-20,tango,Musica: Agustín Bardi,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Paladin.mp3,False,False,0,False,False,False
El pillete,Julio de Caro,1927-12-01,tango,Musica: Graciano De Leone,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Pillete.m4a,False,False,0,False,False,False
El pollito,Edgardo Donato,1954-06-10,tango,Musica: Francisco Canaro,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Pollito.m4a,False,False,0,False,False,False
El rey del compás,Juan D'Arienzo,1941-09-12,tango,Musica: Príncipe Cubano,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Rey Del Compas - Estereo 192.mp3,False,False,0,False,False,False
El rey del compás,Juan D'Arienzo,1941-09-12,tango,Musica: Príncipe Cubano,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Rey Del Compas.mp3,False,False,0,False,False,False
El simpático,Domingo Federico,1950-08-25,tango,Musica: Juan Santini,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Simpático.mp3,False,False,0,False,False,False
El vuelo del moscardón,Osmar Maderna,1946-05-13,tango fantasia,Musica: Nicolai Rimsky Korsakov y Osmar Maderna,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 El Vuelo Del Moscardón.mp3,False,False,0,False,False,False
En Esta Tarde Gris,Roberto Goyeneche,1971,tango,Musica: Mariano Mores - Letra: José María Contursi,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 En Esta Tarde Gris.mp3,False,False,0,False,False,False
En la calle,Miguel Caló / Raúl Berón,1963-04-16,tango,Musica: ? - Letra: ?,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 En La Calle.mp3,False,False,0,False,False,False
Entre dos fuegos,Juan D'Arienzo,1940-04-12,tango,Musica: Alberto López Buchardo,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 Entre Dos Fuegos     S.m4a,False,False,0,False,False,False
Esta noche,Francisco Canaro / Ernesto Famá,1940-03-14,tango,Musica: Carlos Marcucci - Letra: Lito Bayardo,D:/Dropbox/TDJ/MUSICA/Eduardo\1\01 Esta Noche             -.m4a,False,False,0,False,False,False
