title,artist,year,genre,composer,file_path,Artista encontrado,Titulo encontrado,Numero de coincidencias,Hay coincidencia preferida,No hay coincidencia preferida,Coincidencia perfecta
Luna De Arrabal,Emilio Balcarce / Alberto Castillo,1943,tango vals,Enrique Cadícamo/Julio César Sanders,D:/Dropbox/TDJ/MUSICA/Eva\Alberto Castillo con orquesta Emilio Balcarce\SEL.de VALSES VOL_\02 092  VALSES   LUNA DE ARRABAL   ALBERTO CASTILLO.mp3,True,False,0,False,True,False
Va Llegando La Gente Al Baile   Alfredo Di Angelis,Alfredo de Angelis,1944,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Acordes Portenos\13 006 VA LLEGANDO LA GENTE AL BAILE   ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Tu Corazon  Alfredo Di Angelis,Alfredo De Angelis / Carlos Dante,1955,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Canta CARLOS DANTE\02 026 TU CORAZON  ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Tu Corazon  Alfredo Di Angelis  Alfredo Di Angelis,Alfredo De Angelis / Carlos Dante,1955,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Canta CARLOS DANTE\02 109  TU CORAZON  ALFREDO DI ANGELIS  ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Tu Corazon Ok,Alfredo De Angelis / Carlos Dante,1955,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Canta CARLOS DANTE\02 TU CORAZON OK.mp3,True,True,1,False,True,False
Acordes Porteños Alfredo Di Angelis,Alfredo De Angelis / Julio Martel,1945,tango,Francisco Laino,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Canta JULIO MARTEL\13 051 ACORDES PORTEÑOS  ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Acordes porteños,Alfredo de Angelis / Julio Martel,1945-05-04,tango,Musica: ? - Letra: ?,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Canta JULIO MARTEL\13 ACORDES PORTEÑOS XXX.mp3,True,True,1,False,True,True
Volvamos A Empezar  Alfredo Di Angelis,Alfredo De Angelis / Oscar Larroca,1953,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\Canta OSCAR LARROCA\18 VOLVAMOS A EMPEZAR  ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Bailarin Compadrito Alfredo Di Angelis,Alfredo De Angelis / Oscar Larroca,1953,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.17=\14 097 BAILARIN COMPADRITO  ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Bailarin Compadrito-1953,Alfredo De Angelis / Oscar Larroca,1953,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.17=\14 BAILARIN COMPADRITO-1953 XXX.mp3,True,True,2,False,True,False
Campanita  Alfredo Di Angelis,Alfredo De Angelis / Julio Martel,1944,tango,J.Polito - S.Polito,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.31=\24 027 CAMPANITA  ALFREDO DI ANGELIS.mp3,True,True,1,False,True,False
Campanita,Alfredo de Angelis / Julio Martel,1944-10-10,tango,Musica: Juan Polito - Letra: Salvador Polito,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.31=\24 CAMPANITA XXX.mp3,True,True,1,False,True,True
De Igual A  Igual  Alfredo Did Angelis,Alfredo De Angelis / Julio Martel,1944,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.31=\27 028 DE IGUAL A  IGUAL  ALFREDO DID ANGELIS.mp3,True,True,3,False,True,False
De Igual A  Igual,Alfredo De Angelis / Julio Martel,1944,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.31=\27 DE IGUAL A  IGUAL.mp3,True,True,3,False,True,False
Que Buenas Es  Alfredo Di Angelid,Alfredo De Angelis / Julio Martel,1943,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.39=\15 029 QUE BUENAS ES  ALFREDO DI ANGELID.mp3,True,True,5,False,True,False
Que Buenas Es( Sin Glosa),Alfredo De Angelis / Julio Martel,1943,tango,,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.39=\15 QUE BUENAS ES( SIN GLOSA).mp3,True,True,8,False,True,False
Soñar y nada mas,Alfredo de Angelis / Carlos Dante y Julio Martel,1944-08-29,tango vals,Musica: Francisco Canaro - Letra: Ivo Pelay,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.45=\19 SOÑAR Y NADA MAS XXX.mp3,True,True,1,False,True,True
Flores del alma,Alfredo de Angelis / Carlos Dante y Julio Martel,1947-07-03,tango vals,Musica: Juan Larenza - Letra: Alfredo Lucero Palacios y Lito Bayardo,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.45=\20 FLORES DEL ALMA.mp3,True,True,1,False,True,True
Pobre flor (Primera ilusión),Alfredo de Angelis / Carlos Dante y Julio Martel,1946-01-07,tango vals,Musica: Luis Mottolese - Letra: Víctor Feliciano Spíndola,D:/Dropbox/TDJ/MUSICA/Eva\ALFREDO DE ANGELIS\La MUSICA DE MARIO E. ORLANDO VOL.45=\21 POBRE FLOR.mp3,True,True,1,False,True,True
