archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer;coincidencia_titulo
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tangos Del Tiempo Viejo  vol. 4\Quinteto Pirincho - A Mi Madre.wav;A Mi Madre;Con los amigos (A mi madre);Francisco Canaro;Francisco Canaro;;Eduardo Adrián;;1943-05-12;tango;tango vals;;Musica: Carlos Gardel y José Razzano - Letra: Sebastián Alfredo Robles;2.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Alma de bandoneón.wav;Alma de bandoneón;Alma de bandoneón;Francisco Canaro;Francisco Canaro;;Roberto Maida;;1935-03-20;tango;tango;;Musica: Enrique Santos Discépolo - Letra: Enrique Santos Discépolo y Luis César Amadori;6.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Aunque no lo crean.wav;Aunque no lo crean;Aunque no lo crean;Francisco Canaro;Francisco Canaro;;Roberto Maida;;1935-08-18;tango;tango;;Musica: Francisco Canaro - Letra: Francisco Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Ciego.wav;Ciego;Ciego;Francisco Canaro;Francisco Canaro;;Roberto Maida;;1935-03-25;tango;tango;;Musica: Luis Rubistein - Letra: Luis Rubistein;6.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - Cogote.wav;Cogote;Cogote;Francisco Canaro;Francisco Canaro;;Roberto Maida;;1935-04-23;tango;tango;;Musica: Alberto Soifer - Letra: Manuel Romero;6.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Tangos Del Tiempo Viejo - Vol. 2 - Reliquias\Quinteto Pirincho - Quinteto Pirincho - Instrumental , Derecho Viejo.wav;Derecho Viejo;Derecho viejo;Francisco Canaro;Francisco Canaro;;;;1927-04-16;tango;tango;;Musica: Eduardo Arolas - Letra: Gabriel Clausi;5.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias- Viejos tangos de mi flor\Quinteto Don Pancho - Don Esteban.wav;Don Esteban;Don Esteban;Francisco Canaro;Francisco Canaro;;;;1927-05-13;tango;tango;;Musica: Augusto Berto;6.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\20 Grandes �xitos\Francisco Canaro Y Su Orquesta T�pica - Quinteto Pirincho - Instrumental , El Alacr�n.wav;El Alacrán;El alacrán;Francisco Canaro;Francisco Canaro;;;;1927-07-29;tango;tango;;Musica: Francisco Canaro;5.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Reliquias- Viejos tangos de mi flor\Quinteto Don Pancho - El choclo.wav;El choclo;El choclo;Francisco Canaro;Francisco Canaro;;Alberto Arenas;;1948-01-15;tango;tango;Angel Villoldo - Enrique Santos Discépolo;Musica: Angel Villoldo - Letra: Enrique Santos Discepolo y Juan Carlos Marambio Catan;6.0
D:\Dropbox\TDJ\MUSICA\Dan\Canaro\Poema\Francisco Canaro - La copla porteña.wav;La copla porteña;La copla porteña;Francisco Canaro;Francisco Canaro;;Roberto Maida;;1935-08-21;tango;tango;;Musica: Francisco Canaro - Letra: Ivo Pelay;6.0
