archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer
C:/Users/diana/Dropbox/TDJ/test - Copy\0017.Ricardo Malerba, Francisco Caso & Homero Manzi - Mariana (05-10-1942).flac;Mariana;Mariana;Ricardo Malerba;Ricardo Malerba;Orlando Medina;Orlando Medina;1942-10-05;1942-10-05;Tango Milonga;tango milonga;Musica: Ricardo Malerba y Francisco Caso - Letra: Homero Manzi;Musica: Ricardo Malerba y Francisco Caso - Letra: Homero Manzi
C:/Users/diana/Dropbox/TDJ/test - Copy\01 A PAN Y AGUA.mp3;A pan y agua;A pan y agua;Ángel D'Agostino;Ángel D'Agostino;Ángel Vargas;Ángel Vargas;1945-10-02;1945-10-02;Tango;tango;Musica: Juan Carlos Cobián - Letra: Enrique Cadícamo;Musica: Juan Carlos Cobián - Letra: Enrique Cadícamo
C:/Users/diana/Dropbox/TDJ/test - Copy\01 Ahi Va El Dulce.mp3;Ahí va el dulce;Ahí va el dulce;Juan D'Arienzo;Juan D'Arienzo;;;1967-07-27;1967-07-27;Tango;tango;Musica: Juan Canaro - Letra: Osvaldo Sosa Cordero;Musica: Juan Canaro - Letra: Osvaldo Sosa Cordero
C:/Users/diana/Dropbox/TDJ/test - Copy\01 Alma De Bohemio.mp3;Alma de bohemio;Alma de bohemio;Francini-Pontier;Francini-Pontier;Alberto Podestá;Alberto Podestá;1946-11-13;1946-11-13;Tango;tango;Musica: Roberto Firpo - Letra: Juan Andrés Caruso;Musica: Roberto Firpo - Letra: Juan Andrés Caruso
C:/Users/diana/Dropbox/TDJ/test - Copy\01 Aquel Amor.mp3;Aquel amor;Aquel amor;Julio de Caro;Julio de Caro;Pedro Lauga;Pedro Lauga;1936-12-13;1936-12-13;Tango;tango;Musica: ? - Letra: ?;Musica: ? - Letra: ?
C:/Users/diana/Dropbox/TDJ/test - Copy\01 Bailarina De Tango.mp3;Bailarina de tango;Bailarina de tango;Rodolfo Biagi;Rodolfo Biagi;Hugo Duval;Hugo Duval;1951-07-30;1951-07-30;Tango;tango;Musica: Oscar de la Fuente - Letra: Horacio Sanguinetti;Musica: Oscar de la Fuente - Letra: Horacio Sanguinetti
C:/Users/diana/Dropbox/TDJ/test - Copy\01 CAFE DOMINGUEZ.mp3;Café Domínguez;Café Domínguez;Ángel D'Agostino;Ángel D'Agostino;Julian Centeya;Julian Centeya;1955-08-16;1955-08-16;Tango;tango;Musica: Ángel D'Agostino - Letra: Julian Centeya;Musica: Ángel D'Agostino - Letra: Julian Centeya
C:/Users/diana/Dropbox/TDJ/test - Copy\01 Carton Junao   Lunf..mp3;Cartón junao;Cartón junao;Juan D'Arienzo;Juan D'Arienzo;Alberto Echagüe;Alberto Echagüe;1947-08-08;1947-08-08;Tango;tango;Musica: Juan D'Arienzo y Héctor Varela - Letra: Carlos Waiss;Musica: Juan D'Arienzo y Héctor Varela - Letra: Carlos Waiss
C:/Users/diana/Dropbox/TDJ/test - Copy\01 El Vuelo Del Moscardón.mp3;El vuelo del moscardón;El vuelo del moscardón;Osmar Maderna;Osmar Maderna;;;1946-05-13;1946-05-13;TANGO FANTASIA;tango fantasia;Musica: Nicolai Rimsky Korsakov y Osmar Maderna;Musica: Nicolai Rimsky Korsakov y Osmar Maderna
C:/Users/diana/Dropbox/TDJ/test - Copy\01 Lo Han Visto Con Otra (c_intro).mp3;Lo han visto con otra;Lo han visto con otra;Miguel Caló;Miguel Caló;Raúl Del Mar y Héctor Gagliardi;Raúl Del Mar y Héctor Gagliardi;1965;1965;Tango;tango;Musica: Horacio Pettorossi - Letra: Horacio Pettorossi;Musica: Horacio Pettorossi - Letra: Horacio Pettorossi
